CustomerID,Age,Qualification,Occupation,Marital Status,Home Mortgage,Personal Loan,Has Other Bank Account,Last Contact Direction,Last Contact Duration,Last Contact Month,Last Contact Weekday,Number of Current Campaign Calls,Number of Previous Campaign Calls,Previous Campaign Outcome,RBA Cash Rate,Employment Variation Rate,Consumer Confidence Index,Sale Outcome
CU318939,32,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,172.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU935403,39,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,No,No,Outbound,744.0,May,Monday,6,0.0,Nonexistent,4.857,1.1,93.994,Sale
CU792919,36,Graduate Diploma and Graduate Certificate,Technicians and Trades,Divorced,No,No,No,Inbound,31.0,May,Thursday,1,0.0,Nonexistent,1.327,-1.8,92.893,No Sale
CU168904,44,Primary Education,Labourer,Married,Yes,No,No,Inbound,102.0,May,Thursday,1,0.0,Nonexistent,1.327,-1.8,92.893,No Sale
CU442580,38,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,No,No,No,Outbound,436.0,May,Thursday,1,0.0,Nonexistent,4.86,1.1,93.994,No Sale
CU901982,30,Primary Education,Labourer,Married,Yes,No,No,Outbound,98.0,June,Wednesday,1,0.0,Nonexistent,4.959,1.4,94.465,No Sale
CU087376,44,Primary Education,Clerical and administrative,Married,Yes,Yes,Yes,Inbound,18.0,August,Thursday,10,0.0,Nonexistent,4.962,1.4,93.444,No Sale
CU622912,33,High School Certificate,Labourer,Single,Yes,No,No,Inbound,294.0,November,Thursday,2,0.0,Nonexistent,4.076,-0.1,93.2,No Sale
CU811983,66,High School Certificate,Retired,Married,Yes,No,No,Inbound,317.0,July,Tuesday,1,0.0,Nonexistent,0.835,-1.7,94.215,Sale
CU444185,22,High School Certificate,Student,Single,No,Yes,No,Inbound,349.0,July,Wednesday,1,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU908822,25,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Inbound,215.0,August,Thursday,1,0.0,Nonexistent,0.904,-1.7,94.027,Sale
CU418729,43,High School Certificate,Community and personal service,Divorced,No,No,No,Inbound,329.0,November,Thursday,1,0.0,Nonexistent,4.076,-0.1,93.2,No Sale
CU846070,34,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Inbound,142.0,April,Tuesday,1,0.0,Nonexistent,1.423,-1.8,93.075,Sale
CU714322,50,Primary Education,Community and personal service,Married,Yes,No,Yes,Inbound,113.0,August,Monday,2,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU008476,48,Bachelor Degree Level or Higher,Clerical and administrative,Divorced,Yes,No,No,Inbound,121.0,July,Wednesday,3,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU803482,44,Graduate Diploma and Graduate Certificate,Clerical and administrative,Married,No,No,No,Inbound,353.0,November,Monday,1,1.0,No Sale,4.191,-0.1,93.2,No Sale
CU162482,33,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,241.0,May,Monday,3,0.0,Nonexistent,1.244,-1.8,92.893,No Sale
CU718260,48,Primary Education,Labourer,Divorced,Yes,No,Yes,Outbound,332.0,June,Tuesday,3,0.0,Nonexistent,4.864,1.4,94.465,No Sale
CU618280,32,Primary Education,Labourer,Married,No,No,No,Inbound,772.0,April,Thursday,2,1.0,No Sale,1.41,-1.8,93.075,No Sale
CU614180,27,Graduate Diploma and Graduate Certificate,Technicians and Trades,Single,No,No,No,Inbound,234.0,July,Thursday,1,0.0,Nonexistent,4.958,1.4,93.918,No Sale
CU570119,33,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,No,No,Outbound,120.0,August,Friday,1,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU507681,31,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,No,No,Inbound,33.0,May,Friday,1,1.0,No Sale,1.25,-1.8,92.893,No Sale
CU238853,30,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,297.0,August,Tuesday,1,0.0,Nonexistent,4.968,1.4,93.444,No Sale
CU282951,40,High School Certificate,Community and personal service,Married,Yes,No,No,Outbound,288.0,May,Friday,3,0.0,Nonexistent,4.864,1.1,93.994,No Sale
CU402811,29,Graduate Diploma and Graduate Certificate,Technicians and Trades,Single,Yes,No,No,Inbound,157.0,September,Monday,7,5.0,Sale,0.879,-1.1,94.199,No Sale
CU506047,38,Primary Education,Technicians and Trades,Single,No,No,No,Inbound,296.0,November,Wednesday,1,0.0,Nonexistent,4.12,-0.1,93.2,No Sale
CU343924,24,High School Certificate,Community and personal service,Married,No,No,No,Outbound,139.0,July,Thursday,1,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU555825,41,Primary Education,Housekeeper,Married,No,No,Yes,Inbound,107.0,August,Thursday,1,0.0,Nonexistent,4.964,1.4,93.444,No Sale
CU173768,45,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Inbound,27.0,November,Friday,3,0.0,Nonexistent,4.021,-0.1,93.2,No Sale
